,file,width,height,depth,name,xmin,ymin,xmax,ymax
126,fifteen_687,1000,1000,3,50,644,256,793,413
127,fifteen_274,1000,1000,3,50,255,115,444,273
128,fifteen_274,1000,1000,3,50,339,727,549,891
129,hundred_471,1000,1000,3,100,493,165,726,390
130,fifteen_534,1000,1000,3,50,619,421,781,675
131,fifteen_611,1000,1000,3,50,87,561,179,648
132,fifteen_611,1000,1000,3,50,795,613,895,707
133,ten_351,1000,1000,3,10,156,410,629,596
134,hundred_21,1000,1000,3,100,256,121,541,379
135,five_1024,1000,1000,3,5,372,708,595,844
136,five_268,1000,1000,3,5,559,325,826,408
137,DSC03851,1000,1000,3,200,70,693,259,845
138,ten_986,1000,1000,3,10,569,158,812,336
139,IMG_3958,1000,1000,3,200,455,611,650,805
140,fifteen_562,1000,1000,3,50,484,159,656,341
141,DSC03295,1000,1000,3,200,64,195,411,867
142,DSC03295,1000,1000,3,200,656,210,915,825
143,fifteen_643,1000,1000,3,50,432,315,558,407
144,fifteen_643,1000,1000,3,50,395,684,523,818
145,hundred_75,1000,1000,3,100,535,107,758,338
146,ten_68,1000,1000,3,10,435,462,604,710
147,five_539,1000,1000,3,5,363,276,518,421
148,five_539,1000,1000,3,5,410,730,538,876
149,fifteen_68,1000,1000,3,50,404,630,609,833
150,ten_530,1000,1000,3,10,529,591,693,764
151,five_394,1000,1000,3,5,259,385,367,507
152,fifteen_379,1000,1000,3,50,407,153,596,344
153,IMG_4059,1000,1000,3,200,64,505,335,719
154,IMG_4059,1000,1000,3,200,625,235,879,391
155,ten_113,1000,1000,3,10,601,316,736,458
156,ten_113,1000,1000,3,10,604,682,741,868
157,fifteen_577,1000,1000,3,50,595,555,812,724
158,IMG_4032,1000,1000,3,200,55,504,236,636
159,IMG_4032,1000,1000,3,200,750,465,965,647
160,fifteen_446,1000,1000,3,50,301,638,584,910
161,DSC03818,1000,1000,3,200,353,130,504,422
162,five_395,1000,1000,3,5,379,264,601,425
163,five_395,1000,1000,3,5,483,713,627,835
164,hundred_435,1000,1000,3,100,555,645,784,924
165,ten_897,1000,1000,3,10,496,258,667,453
166,ten_893,1000,1000,3,10,152,710,335,885
167,fifteen_745,1000,1000,3,50,393,601,535,725
168,fifteen_745,1000,1000,3,50,410,191,563,296
169,hundred_133,1000,1000,3,100,310,347,469,690
170,ten_129,1000,1000,3,10,343,282,461,391
171,ten_129,1000,1000,3,10,275,701,418,819
172,five_443,1000,1000,3,5,413,105,564,208
173,five_443,1000,1000,3,5,646,396,895,624
174,IMG_4124,1000,1000,3,200,250,218,484,390
175,hundred_297,1000,1000,3,100,72,93,279,353
176,hundred_297,1000,1000,3,100,787,211,916,407
177,fifteen_851,1000,1000,3,50,253,353,415,625
178,five_217,1000,1000,3,5,58,695,398,875
179,hundred_526,1000,1000,3,100,364,665,567,839
180,ten_614,1000,1000,3,10,343,362,504,611
181,five_224,1000,1000,3,5,246,838,381,982
182,five_623,1000,1000,3,5,96,230,249,404
183,five_623,1000,1000,3,5,135,745,270,893
184,DSC03520,1000,1000,3,200,376,764,679,965
185,ten_507,1000,1000,3,10,627,635,852,833
186,fifteen_758,1000,1000,3,50,219,464,447,693
187,hundred_732,1000,1000,3,100,479,698,663,885
188,DSC03509,1000,1000,3,200,355,122,682,508
189,ten_720,1000,1000,3,10,396,659,686,853
190,fifteen_854,1000,1000,3,50,432,193,647,495
191,fifteen_543,1000,1000,3,50,364,588,561,811
192,five_428,1000,1000,3,5,341,216,572,355
193,IMG_3998,1000,1000,3,200,511,490,636,647
194,fifteen_118,1000,1000,3,50,495,151,666,345
195,five_234,1000,1000,3,5,504,227,789,364
196,hundred_339,1000,1000,3,100,629,382,753,848
197,ten_60,1000,1000,3,10,572,110,770,245
198,ten_60,1000,1000,3,10,543,719,715,888
199,hundred_338,1000,1000,3,100,515,758,703,948
200,five_903,1000,1000,3,100,307,267,470,378
201,five_903,1000,1000,3,200,846,345,979,685
202,five_903,1000,1000,3,100,449,710,593,930
203,five_903,1000,1000,3,100,33,204,224,381
204,five_903,1000,1000,3,100,173,55,310,193
205,five_903,1000,1000,3,100,52,547,153,661
206,five_903,1000,1000,3,100,683,475,729,528
207,five_903,1000,1000,3,100,689,762,821,870
208,five_903,1000,1000,3,10,824,118,939,267
209,five_903,1000,1000,3,200,875,38,935,78
210,five_903,1000,1000,3,200,399,170,501,238
211,five_903,1000,1000,3,200,690,910,829,956
212,five_903,1000,1000,3,200,476,558,550,636
213,five_903,1000,1000,3,100,6,430,52,502
214,five_903,1000,1000,3,10,373,16,444,96
215,five_903,1000,1000,3,100,519,18,636,56
216,five_903,1000,1000,3,5,686,161,779,271
217,hundred_696,1000,1000,3,100,387,391,541,753
218,hundred_898,1000,1000,3,100,329,504,493,756
219,DSC03268,1000,1000,3,200,319,210,713,842
220,ten_631,1000,1000,3,10,519,239,678,347
221,hundred_663,1000,1000,3,100,303,265,427,401
222,hundred_663,1000,1000,3,100,296,578,419,784
223,hundred_663,1000,1000,3,100,641,65,709,207
224,fifteen_908,1000,1000,3,50,403,250,547,368
225,fifteen_908,1000,1000,3,50,456,630,624,787
226,fifteen_136,1000,1000,3,50,87,679,227,799
227,fifteen_136,1000,1000,3,50,115,167,349,278
228,five_816,1000,1000,3,5,426,421,601,539
229,five_816,1000,1000,3,5,553,879,626,958
230,IMG_3900,1000,1000,3,200,44,595,388,822
231,DSC03323,1000,1000,3,200,439,279,695,718
232,hundred_569,1000,1000,3,100,353,776,496,896
233,five_559,1000,1000,3,5,384,156,543,288
234,five_559,1000,1000,3,5,469,550,624,682
235,five_390,1000,1000,3,5,255,242,413,468
236,fifteen_915,1000,1000,3,50,569,305,739,541
237,hundred_725,1000,1000,3,100,361,178,561,348
238,fifteen_795,1000,1000,3,50,518,350,696,593
239,hundred_79,1000,1000,3,100,255,230,489,510
240,fifteen_228,1000,1000,3,50,444,145,690,398
241,ten_222,1000,1000,3,10,769,248,852,431
242,ten_222,1000,1000,3,50,310,339,427,435
243,five_219,1000,1000,3,5,224,464,519,630
244,five_939,1000,1000,3,5,526,198,621,322
245,five_939,1000,1000,3,5,223,468,350,659
246,hundred_354,1000,1000,3,100,303,607,489,805
247,fifteen_709,1000,1000,3,50,369,621,504,811
248,fifteen_709,1000,1000,3,50,176,147,250,233
249,fifteen_709,1000,1000,3,50,384,118,446,258
250,hundred_819,1000,1000,3,100,256,175,512,465
251,hundred_993,1000,1000,3,100,667,591,863,811
252,ten_948,1000,1000,3,10,704,184,878,296
253,ten_948,1000,1000,3,10,169,508,439,718
254,fifteen_129,1000,1000,3,50,295,293,419,419
255,fifteen_129,1000,1000,3,50,558,518,681,702
256,hundred_504,1000,1000,3,100,329,215,523,861
257,ten_49,1000,1000,3,10,449,410,632,551
258,ten_49,1000,1000,3,10,396,901,546,1000
259,hundred_755,1000,1000,3,100,266,216,523,478
260,ten_638,1000,1000,3,10,539,185,718,375
261,five_641,1000,1000,3,5,527,368,649,495
262,five_641,1000,1000,3,5,524,725,687,921
263,five_849,1000,1000,3,5,143,168,283,302
264,five_849,1000,1000,3,5,161,648,292,795
265,fifteen_176,1000,1000,3,50,395,62,544,205
266,fifteen_176,1000,1000,3,50,544,510,701,653
267,ten_22,1000,1000,3,10,615,361,756,475
268,ten_22,1000,1000,3,10,558,808,719,984
269,DSC03767,1000,1000,3,200,547,171,710,351
270,ten_477,1000,1000,3,10,215,556,436,688
271,ten_477,1000,1000,3,10,650,181,899,330
272,DSC03514,1000,1000,3,200,395,701,682,936
273,five_850,1000,1000,3,5,436,290,576,387
274,five_850,1000,1000,3,5,478,731,550,850
275,ten_338,1000,1000,3,10,744,304,878,553
276,ten_344,1000,1000,3,10,286,779,406,899
277,fifteen_240,1000,1000,3,50,164,613,321,776
278,fifteen_240,1000,1000,3,50,638,284,778,433
279,ten_48,1000,1000,3,10,306,371,432,488
280,ten_48,1000,1000,3,10,264,735,416,879
281,ten_879,1000,1000,3,10,187,307,438,475
282,hundred_105,1000,1000,3,100,447,107,730,387
283,hundred_689,1000,1000,3,100,421,624,655,875
284,hundred_405,1000,1000,3,100,244,661,343,759
285,hundred_405,1000,1000,3,100,804,741,915,844
286,hundred_948,1000,1000,3,100,353,416,509,782
287,IMG_4001,1000,1000,3,200,413,265,695,531
288,ten_652,1000,1000,3,10,546,801,736,918
289,five_963,1000,1000,3,5,266,284,412,441
290,five_963,1000,1000,3,5,672,211,796,431
291,hundred_313,1000,1000,3,100,409,651,618,827
292,IMG_4244,1000,1000,3,200,356,168,511,619
293,hundred_830,1000,1000,3,100,550,596,766,882
294,ten_811,1000,1000,3,10,344,216,490,362
295,hundred_64,1000,1000,3,100,433,191,693,405
296,five_745,1000,1000,3,5,186,322,369,410
297,fifteen_839,1000,1000,3,50,313,618,589,901
298,IMG_4002,1000,1000,3,200,484,710,741,924
299,ten_900,1000,1000,3,10,532,827,707,958
300,DSC03772,1000,1000,3,200,285,182,596,478
301,fifteen_542,1000,1000,3,50,449,241,603,419
302,fifteen_24,1000,1000,3,50,99,542,195,631
303,fifteen_24,1000,1000,3,50,696,284,830,376
304,fifteen_24,1000,1000,3,50,769,622,870,711
305,ten_177,1000,1000,3,10,578,168,763,351
306,ten_177,1000,1000,3,10,529,767,673,907
307,hundred_840,1000,1000,3,100,379,187,499,395
308,DSC03257,1000,1000,3,200,296,322,685,838
309,fifteen_417,1000,1000,3,50,119,579,301,771
310,fifteen_417,1000,1000,3,5,849,727,984,879
311,fifteen_417,1000,1000,3,10,283,79,553,244
312,fifteen_308,1000,1000,3,50,278,270,461,448
313,five_509,1000,1000,3,5,230,636,470,770
314,five_509,1000,1000,3,5,487,87,763,195
315,fifteen_665,1000,1000,3,50,321,239,426,364
316,ten_587,1000,1000,3,10,667,522,819,668
317,five_393,1000,1000,3,5,481,327,632,476
318,five_393,1000,1000,3,5,536,776,641,933
319,DSC03389,1000,1000,3,200,118,633,521,901
320,hundred_774,1000,1000,3,100,415,338,578,698
321,DSC03385,1000,1000,3,200,64,541,416,845
322,ten_601,1000,1000,3,10,193,556,336,704
323,ten_601,1000,1000,3,10,775,178,927,315
324,hundred_813,1000,1000,3,100,312,253,444,347
325,DSC03624,1000,1000,3,200,535,611,804,890
326,DSC03774,1000,1000,3,200,298,293,487,491
327,five_848,1000,1000,3,5,419,178,638,296
328,hundred_848,1000,1000,3,100,532,618,653,756
329,DSC03612,1000,1000,3,200,204,647,411,855
330,ten_472,1000,1000,3,10,441,285,672,439
331,DSC03709,1000,1000,3,200,318,168,488,445
332,IMG_3904,1000,1000,3,200,356,639,618,913
333,five_973,1000,1000,3,5,226,142,458,270
334,five_685,1000,1000,3,5,533,645,781,735
335,five_685,1000,1000,3,5,770,144,979,264
336,ten_859,1000,1000,3,10,575,159,781,365
337,fifteen_203,1000,1000,3,50,415,653,670,878
338,five_622,1000,1000,3,5,549,144,681,347
339,ten_827,1000,1000,3,10,19,588,176,696
340,ten_827,1000,1000,3,10,758,636,912,764
341,hundred_402,1000,1000,3,100,104,573,236,681
342,hundred_402,1000,1000,3,100,779,581,906,736
343,five_714,1000,1000,3,5,543,170,843,256
344,five_714,1000,1000,3,5,327,710,523,825
345,five_711,1000,1000,3,5,424,176,696,281
346,ten_954,1000,1000,3,10,570,111,907,319
347,hundred_280,1000,1000,3,100,475,713,669,870
348,fifteen_864,1000,1000,3,50,316,198,438,327
349,fifteen_864,1000,1000,3,50,630,242,718,448
350,IMG_3990,1000,1000,3,200,138,135,338,273
351,IMG_3990,1000,1000,3,200,790,191,964,319
352,IMG_3961,1000,1000,3,200,76,342,307,578
353,IMG_3961,1000,1000,3,200,738,524,870,667
354,hundred_872,1000,1000,3,100,332,295,444,485
355,hundred_872,1000,1000,3,100,572,298,695,511
356,IMG_4161,1000,1000,3,200,367,133,779,479
357,fifteen_145,1000,1000,3,50,323,271,438,519
358,IMG_3985,1000,1000,3,200,99,247,261,410
359,IMG_3985,1000,1000,3,200,748,205,911,358
360,fifteen_212,1000,1000,3,50,584,561,784,742
361,fifteen_212,1000,1000,3,50,438,110,615,244
362,DSC03322,1000,1000,3,200,121,615,455,891
363,DSC03322,1000,1000,3,200,622,215,911,565
364,DSC03611,1000,1000,3,200,248,99,453,907
365,hundred_61,1000,1000,3,100,166,155,404,385
366,hundred_61,1000,1000,3,100,784,198,929,321
367,five_358,1000,1000,3,5,253,196,352,453
368,DSC03557,1000,1000,3,200,345,176,638,873
369,ten_930,1000,1000,3,10,559,264,715,438
370,fifteen_298,1000,1000,3,50,49,296,190,396
371,fifteen_298,1000,1000,3,50,6,670,95,753
372,fifteen_298,1000,1000,3,50,798,708,913,801
373,fifteen_917,1000,1000,3,50,339,296,473,427
374,fifteen_917,1000,1000,3,50,409,575,623,725
375,five_181,1000,1000,3,5,253,222,456,361
376,five_181,1000,1000,3,5,304,676,583,824
377,hundred_855,1000,1000,3,100,196,188,392,384
378,hundred_855,1000,1000,3,100,812,224,910,339
379,ten_240,1000,1000,3,10,503,851,739,1000
380,ten_882,1000,1000,3,10,649,525,796,664
381,DSC03727,1000,1000,3,200,466,222,600,396
382,ten_431,1000,1000,3,10,309,624,575,779
383,ten_840,1000,1000,3,10,469,65,633,256
384,hundred_149,1000,1000,3,100,290,256,458,853
385,five_721,1000,1000,3,5,766,108,973,196
386,five_721,1000,1000,3,5,441,621,744,696
387,fifteen_423,1000,1000,3,50,19,595,141,705
388,fifteen_423,1000,1000,3,50,67,261,227,373
389,fifteen_566,1000,1000,3,50,323,433,539,598
390,fifteen_793,1000,1000,3,50,296,411,415,559
391,hundred_525,1000,1000,3,100,176,310,379,476
392,five_975,1000,1000,3,5,92,628,223,755
393,five_975,1000,1000,3,5,790,591,904,753
394,ten_235,1000,1000,3,10,332,207,510,338
395,ten_235,1000,1000,3,10,335,701,483,851
396,fifteen_697,1000,1000,3,50,433,627,632,818
397,five_410,1000,1000,3,5,295,207,541,325
398,five_410,1000,1000,3,5,341,733,532,918
399,five_961,1000,1000,3,5,447,231,707,350
400,five_961,1000,1000,3,5,226,690,441,821
401,DSC03878,1000,1000,3,200,328,567,659,822
402,hundred_55,1000,1000,3,100,427,562,635,795
403,hundred_933,1000,1000,3,100,399,662,552,828
404,fifteen_539,1000,1000,3,50,443,630,666,858
405,fifteen_735,1000,1000,3,50,501,53,753,281
406,fifteen_486,1000,1000,3,50,466,633,619,741
407,fifteen_486,1000,1000,3,50,470,245,623,361
408,hundred_281,1000,1000,3,100,326,221,472,456
409,hundred_44,1000,1000,3,100,416,44,607,261
410,hundred_44,1000,1000,3,100,464,505,726,764
411,ten_287,1000,1000,3,10,729,88,932,295
412,ten_287,1000,1000,3,10,790,638,996,787
413,ten_25,1000,1000,3,10,292,290,499,439
414,IMG_4167,1000,1000,3,200,559,121,771,290
415,ten_247,1000,1000,3,10,253,656,452,798
416,ten_247,1000,1000,3,10,735,319,926,470
417,DSC03724,1000,1000,3,200,347,355,480,643
418,DSC03461,1000,1000,3,200,662,473,867,935
419,IMG_3915,1000,1000,3,200,396,618,639,816
420,IMG_4086,1000,1000,3,200,239,308,462,791
421,fifteen_751,1000,1000,3,50,229,621,398,805
422,hundred_980,1000,1000,3,100,144,622,272,744
423,hundred_980,1000,1000,3,100,676,627,823,802
424,five_718,1000,1000,3,5,561,316,796,411
425,five_684,1000,1000,3,5,341,778,496,958
426,five_684,1000,1000,3,5,741,639,846,744
427,five_81,1000,1000,3,5,726,551,916,765
428,hundred_863,1000,1000,3,100,263,301,350,438
429,hundred_863,1000,1000,3,100,430,487,550,684
430,hundred_863,1000,1000,3,100,764,147,876,471
431,ten_415,1000,1000,3,10,653,159,830,341
432,ten_415,1000,1000,3,10,730,599,927,755
433,hundred_620,1000,1000,3,100,596,351,750,635
434,hundred_986,1000,1000,3,100,612,619,821,795
435,ten_912,1000,1000,3,10,606,251,792,475
436,hundred_889,1000,1000,3,100,369,571,536,756
437,ten_777,1000,1000,3,10,464,768,604,915
438,ten_782,1000,1000,3,10,136,601,330,731
439,ten_782,1000,1000,3,10,686,287,838,422
440,ten_944,1000,1000,3,10,696,451,810,705
441,DSC03689,1000,1000,3,200,428,170,604,328
442,five_346,1000,1000,3,5,198,639,326,755
443,five_346,1000,1000,3,5,727,647,929,771
444,fifteen_921,1000,1000,3,50,76,601,196,724
445,fifteen_921,1000,1000,3,50,767,627,916,750
446,IMG_4192,1000,1000,3,200,167,265,364,721
447,DSC03319,1000,1000,3,200,484,507,742,941
448,five_1018,1000,1000,3,5,98,681,252,802
449,five_1018,1000,1000,3,5,863,665,961,796
450,five_1018,1000,1000,3,5,87,276,226,415
451,five_398,1000,1000,3,10,779,648,858,755
452,five_398,1000,1000,3,50,326,553,399,630
453,five_398,1000,1000,3,100,498,138,610,301
454,five_398,1000,1000,3,5,209,702,329,918
455,five_398,1000,1000,3,5,596,804,746,871
456,five_398,1000,1000,3,5,495,819,563,919
457,five_398,1000,1000,3,5,175,58,209,133
458,ten_584,1000,1000,3,10,369,625,546,844
459,fifteen_879,1000,1000,3,50,407,141,636,348
460,hundred_210,1000,1000,3,100,570,448,730,724
461,five_784,1000,1000,3,5,272,321,461,430
462,ten_569,1000,1000,3,10,481,191,687,347
463,fifteen_391,1000,1000,3,50,10,695,152,868
464,fifteen_391,1000,1000,3,50,669,113,859,355
465,five_334,1000,1000,3,5,495,250,758,425
466,five_334,1000,1000,3,5,623,753,850,875
467,hundred_139,1000,1000,3,100,346,208,512,562
468,IMG_3957,1000,1000,3,200,427,635,607,773
469,hundred_885,1000,1000,3,100,287,788,476,942
470,hundred_643,1000,1000,3,100,536,505,661,842
471,ten_927,1000,1000,3,10,295,679,478,796
472,ten_927,1000,1000,3,10,778,281,932,404
473,IMG_4154,1000,1000,3,200,181,570,368,739
474,IMG_4154,1000,1000,3,200,692,85,879,254
475,fifteen_713,1000,1000,3,50,529,208,749,416
476,DSC03530,1000,1000,3,200,370,155,736,933
477,hundred_719,1000,1000,3,100,459,108,527,273
478,hundred_719,1000,1000,3,100,469,721,575,939
479,hundred_719,1000,1000,3,100,875,650,966,787
480,hundred_797,1000,1000,3,100,613,648,795,835
481,ten_150,1000,1000,3,10,581,278,778,416
482,ten_150,1000,1000,3,10,581,716,749,861
483,ten_858,1000,1000,3,10,689,339,899,561
484,five_125,1000,1000,3,5,461,756,667,901
485,ten_499,1000,1000,3,10,89,682,372,847
486,ten_499,1000,1000,3,10,601,321,895,542
487,five_54,1000,1000,3,5,415,171,703,350
488,five_174,1000,1000,3,5,230,195,393,561
489,five_790,1000,1000,3,5,479,76,755,227
490,hundred_672,1000,1000,3,100,233,661,326,755
491,hundred_672,1000,1000,3,100,675,699,784,796
492,hundred_372,1000,1000,3,100,216,608,332,708
493,hundred_372,1000,1000,3,100,789,650,881,753
494,hundred_231,1000,1000,3,100,306,704,490,875
495,IMG_4253,1000,1000,3,200,519,433,716,750
496,five_161,1000,1000,3,5,403,138,638,287
497,ten_646,1000,1000,3,10,458,168,710,373
498,IMG_4114,1000,1000,3,200,304,108,691,450
499,hundred_904,1000,1000,3,100,276,598,423,770
500,hundred_492,1000,1000,3,100,332,527,553,710
501,hundred_492,1000,1000,3,100,695,193,913,388
502,fifteen_964,1000,1000,3,50,507,104,716,370
503,hundred_218,1000,1000,3,100,153,238,824,758
504,hundred_918,1000,1000,3,100,492,125,666,808
505,fifteen_621,1000,1000,3,50,303,338,452,596
506,ten_961,1000,1000,3,10,419,256,653,391
507,fifteen_444,1000,1000,3,50,336,471,592,715
508,ten_331,1000,1000,3,10,353,422,489,562
509,ten_331,1000,1000,3,10,290,799,458,953
510,fifteen_876,1000,1000,3,50,478,278,644,456
511,five_579,1000,1000,3,5,299,331,519,468
512,DSC03876,1000,1000,3,200,70,544,365,781
513,fifteen_213,1000,1000,3,50,616,327,799,602
514,hundred_430,1000,1000,3,100,252,625,487,898
515,hundred_430,1000,1000,3,100,306,182,446,324
516,fifteen_180,1000,1000,3,50,250,219,455,361
517,fifteen_180,1000,1000,3,50,356,636,539,735
518,hundred_667,1000,1000,3,100,246,204,490,510
519,ten_518,1000,1000,3,10,193,656,309,798
520,ten_518,1000,1000,3,10,790,633,924,779
521,hundred_117,1000,1000,3,100,403,661,647,864
522,fifteen_747,1000,1000,3,50,218,648,424,885
523,DSC03591,1000,1000,3,200,376,707,568,890
524,fifteen_85,1000,1000,3,50,433,253,632,475
525,DSC03833,1000,1000,3,200,333,330,422,515
526,fifteen_185,1000,1000,3,50,673,364,807,484
527,fifteen_185,1000,1000,3,50,349,571,470,687
528,IMG_3918,1000,1000,3,200,411,304,608,528
529,DSC03795,1000,1000,3,200,245,504,382,699
530,DSC03769,1000,1000,3,200,118,238,305,436
531,DSC03769,1000,1000,3,200,795,227,938,365
532,IMG_4048,1000,1000,3,200,604,511,967,945
533,hundred_827,1000,1000,3,100,306,176,495,355
534,DSC03754,1000,1000,3,200,687,284,825,675
535,hundred_756,1000,1000,3,100,532,622,689,813
536,hundred_756,1000,1000,3,100,527,162,687,341
537,DSC03423,1000,1000,3,200,584,181,725,599
538,fifteen_734,1000,1000,3,50,401,631,561,788
539,five_474,1000,1000,3,5,212,442,319,635
540,five_474,1000,1000,3,5,456,165,567,328
541,fifteen_95,1000,1000,3,50,553,567,973,685
542,DSC03676,1000,1000,3,200,439,458,641,861
543,hundred_966,1000,1000,3,100,636,713,832,911
